"","X.2","X.1","X","predator","prey","ra","site","sex","age","year","color","temperature","clouds","precipitation","cover_snow","weight","fat","muscle","winds","fresh_snow","clouds_height","snow_height","elevation","wing","p8","tarsus","beak_colour","first_reaction","provoking","flapping","time_min","time_hour","day","month","timekey","key_m100","capture_day","sex_genetics","clean_species","present_in_site.x","otu_phylum","otu_class","otu_order","otu_family","otu_genus","otu_species","present_in_site.y","anthropogenic.x","anthropogenic.y","anthropogenic"
"11",11,11,11,"N566714","otu43",5845,"Tiefenbach","m",6,2023,"grey","-11",1,"no",98,45,5,1,2,"3",NA,NA,2102,126,99,22.5,2.5,NA,NA,NA,30,15,18,1,"2023-01-18 15:30","2023-01-18 13:50:00","2023-01-18","m","unclassified",NA,"Streptophyta","Magnoliopsida","Lamiales","Unclassified","Unclassified","Unclassified",NA,FALSE,FALSE,FALSE
"12",12,12,12,"N566714","otu370",2,"Tiefenbach","m",6,2023,"grey","-11",1,"no",98,45,5,1,2,"3",NA,NA,2102,126,99,22.5,2.5,NA,NA,NA,30,15,18,1,"2023-01-18 15:30","2023-01-18 13:50:00","2023-01-18","m","unclassified",NA,"Streptophyta","Unclassified","Unclassified","Unclassified","Unclassified","Unclassified",NA,NA,NA,NA
"13",13,13,13,"N566714","otu839",82,"Tiefenbach","m",6,2023,"grey","-11",1,"no",98,45,5,1,2,"3",NA,NA,2102,126,99,22.5,2.5,NA,NA,NA,30,15,18,1,"2023-01-18 15:30","2023-01-18 13:50:00","2023-01-18","m","unclassified",NA,"Streptophyta","Magnoliopsida","Ericales","Ericaceae","Vaccinium","Unclassified",NA,FALSE,FALSE,FALSE
"14",14,14,14,"N566714","otu543",5,"Tiefenbach","m",6,2023,"grey","-11",1,"no",98,45,5,1,2,"3",NA,NA,2102,126,99,22.5,2.5,NA,NA,NA,30,15,18,1,"2023-01-18 15:30","2023-01-18 13:50:00","2023-01-18","m","unclassified",NA,"Streptophyta","Magnoliopsida","Asterales","Asteraceae","Unclassified","Unclassified",NA,FALSE,FALSE,FALSE
"15",15,15,15,"N566714","otu7",1570418,"Tiefenbach","m",6,2023,"grey","-11",1,"no",98,45,5,1,2,"3",NA,NA,2102,126,99,22.5,2.5,NA,NA,NA,30,15,18,1,"2023-01-18 15:30","2023-01-18 13:50:00","2023-01-18","m","anthyllis vulneraria",TRUE,"Streptophyta","Magnoliopsida","Fabales","Fabaceae","Anthyllis","Anthyllis vulneraria",TRUE,FALSE,FALSE,FALSE
"16",16,16,16,"N566714","otu254",313,"Tiefenbach","m",6,2023,"grey","-11",1,"no",98,45,5,1,2,"3",NA,NA,2102,126,99,22.5,2.5,NA,NA,NA,30,15,18,1,"2023-01-18 15:30","2023-01-18 13:50:00","2023-01-18","m","unclassified",NA,"Streptophyta","Magnoliopsida","Poales","Poaceae","Unclassified","Unclassified",NA,FALSE,FALSE,FALSE
"17",17,17,17,"N566714","otu787",11,"Tiefenbach","m",6,2023,"grey","-11",1,"no",98,45,5,1,2,"3",NA,NA,2102,126,99,22.5,2.5,NA,NA,NA,30,15,18,1,"2023-01-18 15:30","2023-01-18 13:50:00","2023-01-18","m","unclassified",NA,"Streptophyta","Magnoliopsida","Lamiales","Unclassified","Unclassified","Unclassified",NA,FALSE,FALSE,FALSE
"18",18,18,18,"N566714","otu501",6,"Tiefenbach","m",6,2023,"grey","-11",1,"no",98,45,5,1,2,"3",NA,NA,2102,126,99,22.5,2.5,NA,NA,NA,30,15,18,1,"2023-01-18 15:30","2023-01-18 13:50:00","2023-01-18","m","unclassified",NA,"Streptophyta","Magnoliopsida","Lamiales","Lamiaceae","Unclassified","Unclassified",NA,FALSE,FALSE,FALSE
"19",19,19,19,"N566714","otu14",2832,"Tiefenbach","m",6,2023,"grey","-11",1,"no",98,45,5,1,2,"3",NA,NA,2102,126,99,22.5,2.5,NA,NA,NA,30,15,18,1,"2023-01-18 15:30","2023-01-18 13:50:00","2023-01-18","m","silene vulgaris",TRUE,"Streptophyta","Magnoliopsida","Caryophyllales","Caryophyllaceae","Silene","Silene vulgaris",TRUE,FALSE,FALSE,FALSE
"20",20,20,20,"N566714","otu695",4,"Tiefenbach","m",6,2023,"grey","-11",1,"no",98,45,5,1,2,"3",NA,NA,2102,126,99,22.5,2.5,NA,NA,NA,30,15,18,1,"2023-01-18 15:30","2023-01-18 13:50:00","2023-01-18","m","unclassified",NA,"Streptophyta","Magnoliopsida","Lamiales","Unclassified","Unclassified","Unclassified",NA,FALSE,FALSE,FALSE
"21",21,21,21,"N566714","otu804",15,"Tiefenbach","m",6,2023,"grey","-11",1,"no",98,45,5,1,2,"3",NA,NA,2102,126,99,22.5,2.5,NA,NA,NA,30,15,18,1,"2023-01-18 15:30","2023-01-18 13:50:00","2023-01-18","m","unclassified",NA,"Streptophyta","Magnoliopsida","Poales","Poaceae","Unclassified","Unclassified",NA,FALSE,FALSE,FALSE
"22",22,22,22,"N566714","otu753",2,"Tiefenbach","m",6,2023,"grey","-11",1,"no",98,45,5,1,2,"3",NA,NA,2102,126,99,22.5,2.5,NA,NA,NA,30,15,18,1,"2023-01-18 15:30","2023-01-18 13:50:00","2023-01-18","m","unclassified",NA,"Streptophyta","Magnoliopsida","Lamiales","Lamiaceae","Unclassified","Unclassified",NA,FALSE,FALSE,FALSE
"23",23,23,23,"N566714","otu542",25,"Tiefenbach","m",6,2023,"grey","-11",1,"no",98,45,5,1,2,"3",NA,NA,2102,126,99,22.5,2.5,NA,NA,NA,30,15,18,1,"2023-01-18 15:30","2023-01-18 13:50:00","2023-01-18","m","unclassified",NA,"Streptophyta","Magnoliopsida","Lamiales","Unclassified","Unclassified","Unclassified",NA,FALSE,FALSE,FALSE
"24",24,24,24,"N566714","otu347",7,"Tiefenbach","m",6,2023,"grey","-11",1,"no",98,45,5,1,2,"3",NA,NA,2102,126,99,22.5,2.5,NA,NA,NA,30,15,18,1,"2023-01-18 15:30","2023-01-18 13:50:00","2023-01-18","m","unclassified",NA,"Streptophyta","Magnoliopsida","Lamiales","Unclassified","Unclassified","Unclassified",NA,FALSE,FALSE,FALSE
"25",25,25,25,"N566714","otu142",2061,"Tiefenbach","m",6,2023,"grey","-11",1,"no",98,45,5,1,2,"3",NA,NA,2102,126,99,22.5,2.5,NA,NA,NA,30,15,18,1,"2023-01-18 15:30","2023-01-18 13:50:00","2023-01-18","m","arabis cretica",FALSE,"Streptophyta","Magnoliopsida","Brassicales","Brassicaceae","Arabis","Arabis cretica",FALSE,FALSE,FALSE,FALSE
"26",26,26,26,"N566714","otu90",15,"Tiefenbach","m",6,2023,"grey","-11",1,"no",98,45,5,1,2,"3",NA,NA,2102,126,99,22.5,2.5,NA,NA,NA,30,15,18,1,"2023-01-18 15:30","2023-01-18 13:50:00","2023-01-18","m","silene vulgaris",TRUE,"Streptophyta","Magnoliopsida","Caryophyllales","Caryophyllaceae","Silene","Silene vulgaris",TRUE,FALSE,FALSE,FALSE
"27",27,27,27,"N566714","otu48",283748,"Tiefenbach","m",6,2023,"grey","-11",1,"no",98,45,5,1,2,"3",NA,NA,2102,126,99,22.5,2.5,NA,NA,NA,30,15,18,1,"2023-01-18 15:30","2023-01-18 13:50:00","2023-01-18","m","unclassified",NA,"Streptophyta","Magnoliopsida","Unclassified","Unclassified","Unclassified","Unclassified",NA,FALSE,FALSE,FALSE
"28",28,28,28,"N566714","otu73",5115,"Tiefenbach","m",6,2023,"grey","-11",1,"no",98,45,5,1,2,"3",NA,NA,2102,126,99,22.5,2.5,NA,NA,NA,30,15,18,1,"2023-01-18 15:30","2023-01-18 13:50:00","2023-01-18","m","unclassified",NA,"Streptophyta","Magnoliopsida","Poales","Poaceae","Unclassified","Unclassified",NA,FALSE,FALSE,FALSE
"29",29,29,29,"N566714","otu910",7,"Tiefenbach","m",6,2023,"grey","-11",1,"no",98,45,5,1,2,"3",NA,NA,2102,126,99,22.5,2.5,NA,NA,NA,30,15,18,1,"2023-01-18 15:30","2023-01-18 13:50:00","2023-01-18","m","unclassified",NA,"Streptophyta","Magnoliopsida","Lamiales","Unclassified","Unclassified","Unclassified",NA,FALSE,FALSE,FALSE
"30",30,30,30,"N566714","otu19",805,"Tiefenbach","m",6,2023,"grey","-11",1,"no",98,45,5,1,2,"3",NA,NA,2102,126,99,22.5,2.5,NA,NA,NA,30,15,18,1,"2023-01-18 15:30","2023-01-18 13:50:00","2023-01-18","m","unclassified",NA,"Streptophyta","Magnoliopsida","Lamiales","Orobanchaceae","Pedicularis","Unclassified",NA,FALSE,FALSE,FALSE
"31",31,31,31,"N566714","otu89",1211,"Tiefenbach","m",6,2023,"grey","-11",1,"no",98,45,5,1,2,"3",NA,NA,2102,126,99,22.5,2.5,NA,NA,NA,30,15,18,1,"2023-01-18 15:30","2023-01-18 13:50:00","2023-01-18","m","unclassified",NA,"Streptophyta","Magnoliopsida","Poales","Cyperaceae","Carex","Unclassified",NA,FALSE,FALSE,FALSE
"32",32,32,32,"N566714","otu916",317,"Tiefenbach","m",6,2023,"grey","-11",1,"no",98,45,5,1,2,"3",NA,NA,2102,126,99,22.5,2.5,NA,NA,NA,30,15,18,1,"2023-01-18 15:30","2023-01-18 13:50:00","2023-01-18","m","unclassified",NA,"Streptophyta","Magnoliopsida","Ericales","Ericaceae","Vaccinium","Unclassified",NA,FALSE,FALSE,FALSE
"33",33,33,33,"N566714","otu18",605,"Tiefenbach","m",6,2023,"grey","-11",1,"no",98,45,5,1,2,"3",NA,NA,2102,126,99,22.5,2.5,NA,NA,NA,30,15,18,1,"2023-01-18 15:30","2023-01-18 13:50:00","2023-01-18","m","unclassified",NA,"Streptophyta","Unclassified","Unclassified","Unclassified","Unclassified","Unclassified",NA,FALSE,FALSE,FALSE
"34",34,34,34,"N566714","otu718",17,"Tiefenbach","m",6,2023,"grey","-11",1,"no",98,45,5,1,2,"3",NA,NA,2102,126,99,22.5,2.5,NA,NA,NA,30,15,18,1,"2023-01-18 15:30","2023-01-18 13:50:00","2023-01-18","m","unclassified",NA,"Streptophyta","Magnoliopsida","Lamiales","Lamiaceae","Unclassified","Unclassified",NA,FALSE,FALSE,FALSE
"35",35,35,35,"N566714","otu75",311,"Tiefenbach","m",6,2023,"grey","-11",1,"no",98,45,5,1,2,"3",NA,NA,2102,126,99,22.5,2.5,NA,NA,NA,30,15,18,1,"2023-01-18 15:30","2023-01-18 13:50:00","2023-01-18","m","unclassified",NA,"Streptophyta","Unclassified","Unclassified","Unclassified","Unclassified","Unclassified",NA,NA,NA,NA
"36",36,36,36,"N566714","otu688",17,"Tiefenbach","m",6,2023,"grey","-11",1,"no",98,45,5,1,2,"3",NA,NA,2102,126,99,22.5,2.5,NA,NA,NA,30,15,18,1,"2023-01-18 15:30","2023-01-18 13:50:00","2023-01-18","m","unclassified",NA,"Streptophyta","Magnoliopsida","Lamiales","Lamiaceae","Unclassified","Unclassified",NA,FALSE,FALSE,FALSE
"37",37,37,37,"N566714","otu591",13,"Tiefenbach","m",6,2023,"grey","-11",1,"no",98,45,5,1,2,"3",NA,NA,2102,126,99,22.5,2.5,NA,NA,NA,30,15,18,1,"2023-01-18 15:30","2023-01-18 13:50:00","2023-01-18","m","unclassified",NA,"Streptophyta","Magnoliopsida","Lamiales","Unclassified","Unclassified","Unclassified",NA,FALSE,FALSE,FALSE
"38",38,38,38,"N566714","otu38",111216,"Tiefenbach","m",6,2023,"grey","-11",1,"no",98,45,5,1,2,"3",NA,NA,2102,126,99,22.5,2.5,NA,NA,NA,30,15,18,1,"2023-01-18 15:30","2023-01-18 13:50:00","2023-01-18","m","unclassified",NA,"Streptophyta","Magnoliopsida","Lamiales","Lamiaceae","Unclassified","Unclassified",NA,FALSE,FALSE,FALSE
"39",39,39,39,"N566714","otu301",3,"Tiefenbach","m",6,2023,"grey","-11",1,"no",98,45,5,1,2,"3",NA,NA,2102,126,99,22.5,2.5,NA,NA,NA,30,15,18,1,"2023-01-18 15:30","2023-01-18 13:50:00","2023-01-18","m","unclassified",NA,"Streptophyta","Magnoliopsida","Ericales","Ericaceae","Unclassified","Unclassified",NA,FALSE,FALSE,FALSE
"40",40,40,40,"N566714","otu273",39,"Tiefenbach","m",6,2023,"grey","-11",1,"no",98,45,5,1,2,"3",NA,NA,2102,126,99,22.5,2.5,NA,NA,NA,30,15,18,1,"2023-01-18 15:30","2023-01-18 13:50:00","2023-01-18","m","unclassified",NA,"Streptophyta","Unclassified","Unclassified","Unclassified","Unclassified","Unclassified",NA,NA,NA,NA
"41",41,41,41,"N566714","otu369",472,"Tiefenbach","m",6,2023,"grey","-11",1,"no",98,45,5,1,2,"3",NA,NA,2102,126,99,22.5,2.5,NA,NA,NA,30,15,18,1,"2023-01-18 15:30","2023-01-18 13:50:00","2023-01-18","m","unclassified",NA,"Streptophyta","Magnoliopsida","Fabales","Fabaceae","Anthyllis","Unclassified",NA,FALSE,FALSE,FALSE
"42",42,42,42,"N566714","otu202",114,"Tiefenbach","m",6,2023,"grey","-11",1,"no",98,45,5,1,2,"3",NA,NA,2102,126,99,22.5,2.5,NA,NA,NA,30,15,18,1,"2023-01-18 15:30","2023-01-18 13:50:00","2023-01-18","m","unclassified",NA,"Streptophyta","Magnoliopsida","Lamiales","Lamiaceae","Unclassified","Unclassified",NA,FALSE,FALSE,FALSE
"43",43,43,43,"N566714","otu841",8,"Tiefenbach","m",6,2023,"grey","-11",1,"no",98,45,5,1,2,"3",NA,NA,2102,126,99,22.5,2.5,NA,NA,NA,30,15,18,1,"2023-01-18 15:30","2023-01-18 13:50:00","2023-01-18","m","unclassified",NA,"Streptophyta","Magnoliopsida","Lamiales","Unclassified","Unclassified","Unclassified",NA,FALSE,FALSE,FALSE
"44",44,44,44,"N566714","otu405",10,"Tiefenbach","m",6,2023,"grey","-11",1,"no",98,45,5,1,2,"3",NA,NA,2102,126,99,22.5,2.5,NA,NA,NA,30,15,18,1,"2023-01-18 15:30","2023-01-18 13:50:00","2023-01-18","m","unclassified",NA,"Streptophyta","Magnoliopsida","Lamiales","Lamiaceae","Unclassified","Unclassified",NA,FALSE,FALSE,FALSE
"45",45,45,45,"N566714","otu686",2,"Tiefenbach","m",6,2023,"grey","-11",1,"no",98,45,5,1,2,"3",NA,NA,2102,126,99,22.5,2.5,NA,NA,NA,30,15,18,1,"2023-01-18 15:30","2023-01-18 13:50:00","2023-01-18","m","unclassified",NA,"Streptophyta","Pinopsida","Cupressales","Cupressaceae","Unclassified","Unclassified",NA,FALSE,FALSE,FALSE
"46",46,46,46,"N566714","otu720",7,"Tiefenbach","m",6,2023,"grey","-11",1,"no",98,45,5,1,2,"3",NA,NA,2102,126,99,22.5,2.5,NA,NA,NA,30,15,18,1,"2023-01-18 15:30","2023-01-18 13:50:00","2023-01-18","m","unclassified",NA,"Streptophyta","Magnoliopsida","Asterales","Asteraceae","Unclassified","Unclassified",NA,FALSE,FALSE,FALSE
"47",47,47,47,"N566714","otu10",513531,"Tiefenbach","m",6,2023,"grey","-11",1,"no",98,45,5,1,2,"3",NA,NA,2102,126,99,22.5,2.5,NA,NA,NA,30,15,18,1,"2023-01-18 15:30","2023-01-18 13:50:00","2023-01-18","m","unclassified",NA,"Streptophyta","Magnoliopsida","Poales","Poaceae","Unclassified","Unclassified",NA,FALSE,FALSE,FALSE
"48",48,48,48,"N566714","otu47",20816,"Tiefenbach","m",6,2023,"grey","-11",1,"no",98,45,5,1,2,"3",NA,NA,2102,126,99,22.5,2.5,NA,NA,NA,30,15,18,1,"2023-01-18 15:30","2023-01-18 13:50:00","2023-01-18","m","unclassified",NA,"Streptophyta","Magnoliopsida","Fabales","Fabaceae","Lotus","Unclassified",NA,FALSE,FALSE,FALSE
"49",49,49,49,"N566714","otu790",5,"Tiefenbach","m",6,2023,"grey","-11",1,"no",98,45,5,1,2,"3",NA,NA,2102,126,99,22.5,2.5,NA,NA,NA,30,15,18,1,"2023-01-18 15:30","2023-01-18 13:50:00","2023-01-18","m","unclassified",NA,"Streptophyta","Magnoliopsida","Lamiales","Lamiaceae","Unclassified","Unclassified",NA,FALSE,FALSE,FALSE
"50",50,50,50,"N566714","otu447",10,"Tiefenbach","m",6,2023,"grey","-11",1,"no",98,45,5,1,2,"3",NA,NA,2102,126,99,22.5,2.5,NA,NA,NA,30,15,18,1,"2023-01-18 15:30","2023-01-18 13:50:00","2023-01-18","m","unclassified",NA,"Streptophyta","Magnoliopsida","Lamiales","Lamiaceae","Unclassified","Unclassified",NA,FALSE,FALSE,FALSE
"51",51,51,51,"N566714","otu905",10,"Tiefenbach","m",6,2023,"grey","-11",1,"no",98,45,5,1,2,"3",NA,NA,2102,126,99,22.5,2.5,NA,NA,NA,30,15,18,1,"2023-01-18 15:30","2023-01-18 13:50:00","2023-01-18","m","unclassified",NA,"Streptophyta","Magnoliopsida","Lamiales","Unclassified","Unclassified","Unclassified",NA,FALSE,FALSE,FALSE
"52",52,52,52,"N566714","otu917",8,"Tiefenbach","m",6,2023,"grey","-11",1,"no",98,45,5,1,2,"3",NA,NA,2102,126,99,22.5,2.5,NA,NA,NA,30,15,18,1,"2023-01-18 15:30","2023-01-18 13:50:00","2023-01-18","m","unclassified",NA,"Streptophyta","Magnoliopsida","Lamiales","Unclassified","Unclassified","Unclassified",NA,FALSE,FALSE,FALSE
"53",53,53,53,"N566714","otu6",321801,"Tiefenbach","m",6,2023,"grey","-11",1,"no",98,45,5,1,2,"3",NA,NA,2102,126,99,22.5,2.5,NA,NA,NA,30,15,18,1,"2023-01-18 15:30","2023-01-18 13:50:00","2023-01-18","m","vaccinium vitis-idaea",TRUE,"Streptophyta","Magnoliopsida","Ericales","Ericaceae","Vaccinium","Vaccinium vitis-idaea",TRUE,FALSE,FALSE,FALSE
"54",54,54,54,"N566714","otu627",3,"Tiefenbach","m",6,2023,"grey","-11",1,"no",98,45,5,1,2,"3",NA,NA,2102,126,99,22.5,2.5,NA,NA,NA,30,15,18,1,"2023-01-18 15:30","2023-01-18 13:50:00","2023-01-18","m","unclassified",NA,"Streptophyta","Magnoliopsida","Fabales","Fabaceae","Unclassified","Unclassified",NA,FALSE,FALSE,FALSE
"55",55,55,55,"N566714","otu846",11,"Tiefenbach","m",6,2023,"grey","-11",1,"no",98,45,5,1,2,"3",NA,NA,2102,126,99,22.5,2.5,NA,NA,NA,30,15,18,1,"2023-01-18 15:30","2023-01-18 13:50:00","2023-01-18","m","unclassified",NA,"Streptophyta","Magnoliopsida","Lamiales","Lamiaceae","Unclassified","Unclassified",NA,FALSE,FALSE,FALSE
"56",56,56,56,"N566714","otu842",10,"Tiefenbach","m",6,2023,"grey","-11",1,"no",98,45,5,1,2,"3",NA,NA,2102,126,99,22.5,2.5,NA,NA,NA,30,15,18,1,"2023-01-18 15:30","2023-01-18 13:50:00","2023-01-18","m","unclassified",NA,"Streptophyta","Magnoliopsida","Lamiales","Lamiaceae","Unclassified","Unclassified",NA,FALSE,FALSE,FALSE
"57",57,57,57,"N566714","otu847",14,"Tiefenbach","m",6,2023,"grey","-11",1,"no",98,45,5,1,2,"3",NA,NA,2102,126,99,22.5,2.5,NA,NA,NA,30,15,18,1,"2023-01-18 15:30","2023-01-18 13:50:00","2023-01-18","m","unclassified",NA,"Streptophyta","Magnoliopsida","Lamiales","Lamiaceae","Unclassified","Unclassified",NA,FALSE,FALSE,FALSE
"58",58,58,58,"N566714","otu715",2,"Tiefenbach","m",6,2023,"grey","-11",1,"no",98,45,5,1,2,"3",NA,NA,2102,126,99,22.5,2.5,NA,NA,NA,30,15,18,1,"2023-01-18 15:30","2023-01-18 13:50:00","2023-01-18","m","unclassified",NA,"Streptophyta","Magnoliopsida","Lamiales","Unclassified","Unclassified","Unclassified",NA,FALSE,FALSE,FALSE
"59",59,59,59,"N566714","otu689",348,"Tiefenbach","m",6,2023,"grey","-11",1,"no",98,45,5,1,2,"3",NA,NA,2102,126,99,22.5,2.5,NA,NA,NA,30,15,18,1,"2023-01-18 15:30","2023-01-18 13:50:00","2023-01-18","m","unclassified",NA,"Streptophyta","Magnoliopsida","Lamiales","Unclassified","Unclassified","Unclassified",NA,FALSE,FALSE,FALSE
"60",60,60,60,"N566714","otu84",11948,"Tiefenbach","m",6,2023,"grey","-11",1,"no",98,45,5,1,2,"3",NA,NA,2102,126,99,22.5,2.5,NA,NA,NA,30,15,18,1,"2023-01-18 15:30","2023-01-18 13:50:00","2023-01-18","m","unclassified",NA,"Streptophyta","Magnoliopsida","Caryophyllales","Caryophyllaceae","Silene","Unclassified",NA,FALSE,FALSE,FALSE
"61",61,61,61,"N566714","otu132",12,"Tiefenbach","m",6,2023,"grey","-11",1,"no",98,45,5,1,2,"3",NA,NA,2102,126,99,22.5,2.5,NA,NA,NA,30,15,18,1,"2023-01-18 15:30","2023-01-18 13:50:00","2023-01-18","m","unclassified",NA,"Streptophyta","Magnoliopsida","Asterales","Asteraceae","Unclassified","Unclassified",NA,FALSE,FALSE,FALSE
"62",62,62,62,"N566714","otu567",14,"Tiefenbach","m",6,2023,"grey","-11",1,"no",98,45,5,1,2,"3",NA,NA,2102,126,99,22.5,2.5,NA,NA,NA,30,15,18,1,"2023-01-18 15:30","2023-01-18 13:50:00","2023-01-18","m","unclassified",NA,"Streptophyta","Magnoliopsida","Lamiales","Lamiaceae","Unclassified","Unclassified",NA,FALSE,FALSE,FALSE
"63",63,63,63,"N566714","otu788",8,"Tiefenbach","m",6,2023,"grey","-11",1,"no",98,45,5,1,2,"3",NA,NA,2102,126,99,22.5,2.5,NA,NA,NA,30,15,18,1,"2023-01-18 15:30","2023-01-18 13:50:00","2023-01-18","m","unclassified",NA,"Streptophyta","Magnoliopsida","Lamiales","Unclassified","Unclassified","Unclassified",NA,FALSE,FALSE,FALSE
"64",64,64,64,"N566714","otu385",35,"Tiefenbach","m",6,2023,"grey","-11",1,"no",98,45,5,1,2,"3",NA,NA,2102,126,99,22.5,2.5,NA,NA,NA,30,15,18,1,"2023-01-18 15:30","2023-01-18 13:50:00","2023-01-18","m","unclassified",NA,"Streptophyta","Magnoliopsida","Lamiales","Bignoniaceae","Catalpa","Unclassified",NA,FALSE,FALSE,FALSE
"65",65,65,65,"N566714","otu547",960,"Tiefenbach","m",6,2023,"grey","-11",1,"no",98,45,5,1,2,"3",NA,NA,2102,126,99,22.5,2.5,NA,NA,NA,30,15,18,1,"2023-01-18 15:30","2023-01-18 13:50:00","2023-01-18","m","unclassified",NA,"Streptophyta","Magnoliopsida","Asterales","Asteraceae","Unclassified","Unclassified",NA,FALSE,FALSE,FALSE
"66",66,66,66,"N566714","otu845",11,"Tiefenbach","m",6,2023,"grey","-11",1,"no",98,45,5,1,2,"3",NA,NA,2102,126,99,22.5,2.5,NA,NA,NA,30,15,18,1,"2023-01-18 15:30","2023-01-18 13:50:00","2023-01-18","m","unclassified",NA,"Streptophyta","Magnoliopsida","Lamiales","Unclassified","Unclassified","Unclassified",NA,FALSE,FALSE,FALSE
"67",67,67,67,"N566714","otu909",11,"Tiefenbach","m",6,2023,"grey","-11",1,"no",98,45,5,1,2,"3",NA,NA,2102,126,99,22.5,2.5,NA,NA,NA,30,15,18,1,"2023-01-18 15:30","2023-01-18 13:50:00","2023-01-18","m","unclassified",NA,"Streptophyta","Magnoliopsida","Lamiales","Unclassified","Unclassified","Unclassified",NA,FALSE,FALSE,FALSE
